Nombre;Edad;Tr@bajo;Trabajo;Estado_Civil;Nivel_escolaridad;Nivel_escolaridad;Tiene_Credito?;Medio_de_Comunicación;Duracion_ultimo_contacto_seg;Order_D4te;envio23$%3;Segment;Categ;SubCat;V2016;V2017;V2018
sandra-johana/cortes-cifuentes;33;services;services;married;secondary;secondary;no;unknown;54;12/07/17;Regular;Hogares;Muebles;Muebles_Oficina;43.055;926.581;729.618
sandra-/gomez-ballen;28;blue-collar;blue-collar;married;secondary;secondary;no;unknown;262;1/09/18;Regular;Personas;Tecnología;Lapiceros_y_Marcadores;28.466;859.232;328.140
sonia-esmeralda/camargo-zambrano;56;management;management;married;tertiary;tertiary;no;unknown;164;8/04/17;Regular;Corporativo;Muebles;Lapiceros_y_Marcadores;44.660;929.885;497.058
sandra-rosario/lopez-bernal;32;blue-collar;blue-collar;single;primary;primary;no;unknown;16;27/03/18;Regular;Corporativo;Tecnología;Bandas_Oficina;68.778;279.766;183.387
ayda-alejandra/arenas-urrea;25;services;services;married;secondary;secondary;no;unknown;342;21/11/16;Regular;Personas;Tecnología;Papel;3.831;591.142;203.973
larisa-paola/castañeda-laverde;4;retired;retired;married;primary;primary;no;unknown;181;11/11/18;Regular;Corporativo;Muebles;Sobres;45.720;180.805;879.459
france-elvira/vargas-forero;44;admin.;admin.;married;secondary;secondary;no;unknown;172;28/07/18;Regular;Hogares;Muebles;Sobres;99.136;965.489;234.641
luz-/camargo-gonzalez;39;management;management;single;tertiary;tertiary;no;unknown;296;22/04/16;Regular;Corporativo;Tecnología;Lapiceros_y_Marcadores;5.076;523.955;318.742
camilo-patricia/andres-rodriguez;52;entrepreneur;entrepreneur;married;secondary;secondary;no;unknown;127;21/01/16;Regular;Personas;Suplementos_Oficina;Papel;21.839;769.940;837.610
norma-ximena/velasquez-suarez;46;management;management;single;secondary;secondary;no;unknown;255;23/09/16;Regular;Hogares;Suplementos_Oficina;Muebles_Oficina;47.007;751.187;393.584
maria-/garzon-corredor;36;technician;technician;single;secondary;secondary;no;unknown;348;5/11/18;Regular;Corporativo;Muebles;Cuadernos;70.723;929.682;533.814
ana-orlando/andres-uribe;57;technician;technician;married;secondary;secondary;no;unknown;225;13/04/16;Regular;Hogares;Tecnología;Bandas_Oficina;68.653;987.872;398.821
alvaro-amanda/vanegas-gonzalez;49;management;management;married;tertiary;tertiary;no;unknown;23;3/09/17;Regular;Startups;Suplementos_Oficina;Telefonos_comunicaciones;69.124;736.892;296.981
martha-esmeralda/camacho-becerra;6;admin.;admin.;married;secondary;secondary;no;unknown;28;6/02/17;Express_Aire;Corporativo;Tecnología;Encuadernadores_y_accesorios;90.134;144.192;837.135
ligia-gisela/murcia-mellizos;59;blue-collar;blue-collar;married;secondary;secondary;no;unknown;226;25/01/16;Regular;Personas;Muebles;Lapiceros_y_Marcadores;49.201;551.683;762.588
reinaldo-patricia/alfonso-mendoza;51;management;management;married;tertiary;tertiary;no;unknown;336;29/05/18;Express_Aire;Corporativo;Tecnología;Accesorios;80.305;917.299;523.528
milton-/villarreal-forero;57;technician;technician;divorced;secondary;secondary;no;unknown;242;14/07/16;Regular;Hogares;Suplementos_Oficina;Muebles_Oficina;99.267;916.617;899.119
adriana-milena/dueñas-carreño;25;blue-collar;blue-collar;married;secondary;secondary;no;unknown;365;30/01/16;Express_Aire;Personas;Tecnología;Accesorios;33.056;837.583;675.725
luz-rosmira/moscoso-leguizamon;53;technician;technician;married;secondary;secondary;no;unknown;1666;18/12/16;Express_Aire;Startups;Suplementos_Oficina;Encuadernadores_y_accesorios;22.193;501.637;324.977
ingrid-marcela/sarmiento-rodriguez;36;admin.;admin.;divorced;secondary;secondary;no;unknown;577;13/08/16;Regular;Startups;Suplementos_Oficina;Bandas_Oficina;61.197;378.316;925.150
jorge-patricia/salcedo-zamora;37;admin.;admin.;single;secondary;secondary;no;unknown;137;29/12/17;Express_Tierra;Corporativo;Tecnología;Sillas;47.714;359.400;607.780
luisa-patricia/forero-jimenez;44;services;services;divorced;secondary;secondary;no;unknown;16;27/06/18;Regular;Personas;Tecnología;Cuadernos;16.586;702.611;203.708
diana-paola/monroy-quiceno;5;management;management;married;secondary;secondary;no;unknown;18;21/08/16;Regular;Personas;Suplementos_Oficina;Maquinas_Oficina;6.751;685.231;134.560
zulena-marcela/ariza-rodriguez;6;blue-collar;blue-collar;married;No informa;No informa;no;unknown;22;9/04/17;Express_Aire;Hogares;Muebles;Almacenaje_y_Organización;23.780;104.149;618.642
paola-/gonzalez-ruiz;54;retired;retired;married;secondary;secondary;no;unknown;1492;23/05/18;Express_Tierra;Personas;Suplementos_Oficina;Mesas;81.000;198.862;194.314
luz-lisseth/perez-quiceno;58;retired;retired;married;No informa;No informa;no;unknown;616;24/12/17;Regular;Corporativo;Muebles;Papel;52.008;724.721;589.633
elkin-marina/morales-corredor;36;admin.;admin.;single;primary;primary;no;unknown;242;17/04/17;Regular;Corporativo;Muebles;Muebles_Oficina;64.135;94.505;464.912
mary-gisela/lozano-herrera;58;self-employed;self-employed;married;tertiary;tertiary;no;unknown;355;15/11/16;Regular;Personas;Muebles;Bandas_Oficina;25.446;540.114;567.145
martha-/chaparro-rodriguez;44;technician;technician;married;secondary;secondary;no;unknown;225;1/12/16;Regular;Startups;Suplementos_Oficina;Maquinas_Oficina;16.197;962.220;462.840
diana-janeth/montoya-saenz;55;technician;technician;divorced;secondary;secondary;no;unknown;16;6/08/16;Regular;Corporativo;Suplementos_Oficina;Papel;41.044;81.909;451.582
luz-/chaparro-solorza;29;management;management;single;tertiary;tertiary;no;unknown;363;21/07/18;Regular;Startups;Tecnología;Lapiceros_y_Marcadores;65.951;893.460;9.362
gloria-mireya/melo-muñoz;54;blue-collar;blue-collar;married;secondary;secondary;no;unknown;266;3/01/17;Express_Aire;Corporativo;Muebles;Accesorios;3.429;361.772;820.967
martha-gisela/gonzalez-chaparro;48;management;management;divorced;tertiary;tertiary;no;unknown;253;31/12/17;Express_Aire;Corporativo;Muebles;Accesorios;49.206;154.917;298.269
constanza-jesus/dominguez-vargas;32;management;management;married;tertiary;tertiary;no;unknown;179;20/01/17;Express_Aire;Personas;Suplementos_Oficina;Encuadernadores_y_accesorios;76.939;758.895;218.490
sandra-andrea/manjarres-gomez;42;admin.;admin.;single;secondary;secondary;no;unknown;787;13/10/18;Express_Aire;Personas;Suplementos_Oficina;Almacenaje_y_Organización;66.400;40.633;965.031
gaby-/mora-leguizamon;24;technician;technician;single;secondary;secondary;no;unknown;145;14/04/17;Express_Tierra;Hogares;Tecnología;Mesas;77.739;303.075;143.287
gaby-elvira/vanegas-angulo;38;entrepreneur;entrepreneur;single;tertiary;tertiary;no;unknown;174;29/09/17;Express_Tierra;Hogares;Tecnología;Sillas;39.010;61.548;366.199
luz-milena/valbuena-forero;38;management;management;single;tertiary;tertiary;no;unknown;14;21/06/17;Regular;Startups;Suplementos_Oficina;Cuadernos;35.669;732.502;389.630
nestor-lisseth/montenegro-garay;47;blue-collar;blue-collar;married;No informa;No informa;no;unknown;13;2/04/17;Regular;Hogares;Muebles;Muebles_Oficina;55.960;625.860;218.531
graciela-/barragan-chaparro;4;blue-collar;blue-collar;single;No informa;No informa;no;unknown;185;13/11/16;Regular;Startups;Muebles;Papel;77.006;863.441;277.727
cesar-patricia/rodriguez-rojas;46;services;services;married;primary;primary;no;unknown;1778;12/04/17;Express_Aire;Personas;Tecnología;Papel;85.234;41.238;738.427
lina-jacobo/gomez-aragon;32;admin.;admin.;married;tertiary;tertiary;no;unknown;138;20/04/17;Express_Tierra;Startups;Muebles;Mesas;27.300;353.565;628.770
monica-fernando/castillo-baez;53;technician;technician;divorced;secondary;secondary;no;unknown;812;4/05/16;Regular;Startups;Tecnología;Papel;60.459;724.195;342.886
monica-elena/mendoza-romero;57;blue-collar;blue-collar;married;primary;primary;no;unknown;164;2/05/16;Regular;Startups;Muebles;Lapiceros_y_Marcadores;64.620;267.216;893.286
lina-patricia/valencia-perea;33;services;services;married;secondary;secondary;no;unknown;391;4/08/18;Regular;Personas;Muebles;Telefonos_comunicaciones;29.339;350.791;133.252
consuelo-orlando/romero-guzman;49;blue-collar;blue-collar;married;No informa;No informa;no;unknown;357;25/08/18;Regular;Startups;Muebles;Lapiceros_y_Marcadores;10.585;389.221;174.670
adriana-andrea/lozano-vera;51;management;management;married;tertiary;tertiary;no;unknown;91;20/01/17;Regular;Corporativo;Suplementos_Oficina;Accesorios;68.645;772.156;807.356
michael-patricia/gonzalez-ballen;6;retired;retired;married;tertiary;tertiary;no;unknown;528;22/08/17;Regular;Personas;Muebles;Accesorios_Computadoras;90.217;576.567;490.155
luz-paola/garcia-cortes;59;management;management;divorced;tertiary;tertiary;no;unknown;273;6/01/17;Regular;Startups;Suplementos_Oficina;Papel;36.216;39.739;413.269
gaby-beatriz/patiño-segura;55;technician;technician;married;secondary;secondary;no;unknown;158;8/09/18;Regular;Startups;Suplementos_Oficina;Accesorios;78.551;866.293;649.539
nestor-pilar/reina-ramirez;35;blue-collar;blue-collar;single;secondary;secondary;no;unknown;177;3/10/18;Regular;Hogares;Tecnología;Almacenaje_y_Organización;63.165;968.919;810.348
victoria-/sabogal-zaque;57;blue-collar;blue-collar;married;secondary;secondary;no;unknown;258;3/12/16;Regular;Corporativo;Tecnología;Accesorios;50.825;668.003;956.043
mary-patricia/acuña-lopez;31;services;services;married;secondary;secondary;no;unknown;172;16/02/16;Express_Aire;Hogares;Tecnología;Cuadernos;45.860;33.580;886.302
sandra-andrea/ariza-ramirez;54;management;management;married;secondary;secondary;no;unknown;154;26/07/18;Regular;Personas;Tecnología;Cuadernos;98.100;608.594;451.141
norma-/camacho-bejarano;55;blue-collar;blue-collar;married;primary;primary;no;unknown;291;9/03/18;Regular;Corporativo;Muebles;Telefonos_comunicaciones;72.328;166.011;697.810
diana-constanza/mora-rodriguez;43;technician;technician;married;secondary;secondary;no;unknown;181;6/07/16;Regular;Hogares;Tecnología;Muebles_Oficina;35.033;946.760;988.267
nayshley-carolina/hernandez-mosquera;53;technician;technician;married;secondary;secondary;no;unknown;176;6/11/16;Regular;Startups;Muebles;Papel;8.620;463.072;427.375
norma-yenifer/cera-chaparro;44;blue-collar;blue-collar;married;secondary;secondary;no;unknown;211;18/03/18;Regular;Personas;Muebles;Papel;54.158;131.496;129.359
andrea-ximena/barbosa-artunduaga;55;services;services;divorced;secondary;secondary;no;unknown;349;8/02/17;Express_Aire;Corporativo;Tecnología;Muebles_Oficina;56.508;365.219;927.773
paulo-catalina/bolivar-guzman;49;services;services;divorced;secondary;secondary;no;unknown;272;28/11/18;Regular;Hogares;Suplementos_Oficina;Muebles_Oficina;71.670;229.776;222.910
nayshley-consuelo/pineda-navas;55;services;services;divorced;secondary;secondary;yes;unknown;28;13/09/18;Regular;Startups;Muebles;Telefonos_comunicaciones;88.886;713.141;942.805
hermes-felipe/barajas-rincon;45;admin.;admin.;single;secondary;secondary;no;unknown;193;10/03/18;Regular;Startups;Suplementos_Oficina;Lapiceros_y_Marcadores;3.599;490.270;292.430
luis-/castillo-acosta;47;services;services;divorced;secondary;secondary;no;unknown;212;12/10/18;Regular;Corporativo;Suplementos_Oficina;Accesorios;89.762;380.888;893.568
madian-marcela/pulido-urrea;42;technician;technician;single;secondary;secondary;no;unknown;2;20/10/16;Regular;Startups;Suplementos_Oficina;Telefonos_comunicaciones;49.978;107.630;243.802
betsabe-paola/varga-ladino;59;admin.;admin.;married;secondary;secondary;no;unknown;142;15/06/18;Regular;Corporativo;Tecnología;Cuadernos;30.137;732.186;149.155
erley-jose/lozano-rojas;46;self-employed;self-employed;married;tertiary;tertiary;no;unknown;246;5/06/18;Regular;Corporativo;Tecnología;Papel;68.270;374.452;789.062
rocio-paola/sarmiento-guarin;51;blue-collar;blue-collar;married;primary;primary;no;unknown;529;5/08/17;Regular;Personas;Tecnología;Lapiceros_y_Marcadores;10.430;148.188;714.963
nancy-constanza/agudelo-torres;56;admin.;admin.;married;secondary;secondary;no;unknown;1467;2/02/18;Regular;Corporativo;Suplementos_Oficina;Maquinas_Oficina;27.283;695.313;911.381
andrea-andrea/lozada-mellizos;41;technician;technician;married;secondary;secondary;no;unknown;1389;4/03/16;Express_Aire;Corporativo;Tecnología;Telefonos_comunicaciones;89.730;701.208;361.226
andrea-mireya/cubides-toledo;46;management;management;divorced;secondary;secondary;no;unknown;188;5/10/18;Regular;Personas;Muebles;Telefonos_comunicaciones;34.042;796.462;458.319
alvaro-/acosta-carbonell;57;retired;retired;married;secondary;secondary;no;unknown;18;14/06/18;Regular;Corporativo;Suplementos_Oficina;Papel;12.264;913.304;979.451
cryshna-carolina/ariza-greco;42;management;management;single;secondary;secondary;no;unknown;48;15/03/16;Express_Tierra;Corporativo;Tecnología;Copiadoras_Faxes;47.562;887.995;783.552
luz-elena/agudelo-ortiz;3;technician;technician;married;secondary;secondary;no;unknown;213;14/10/16;Regular;Corporativo;Muebles;Encuadernadores_y_accesorios;49.185;801.774;16.418
ana-angel/reina-vega;6;admin.;admin.;married;secondary;secondary;no;unknown;583;30/05/18;Regular;Hogares;Muebles;Lapiceros_y_Marcadores;81.167;12.156;439.301
gloria-marcela/giraldo-olaya;6;blue-collar;blue-collar;married;No informa;No informa;no;unknown;221;16/06/18;Regular;Startups;Tecnología;Encuadernadores_y_accesorios;48.228;884.066;300.881
nayshley-angelina/valbuena-vega;57;entrepreneur;entrepreneur;divorced;secondary;secondary;no;unknown;173;19/03/17;Express_Tierra;Personas;Tecnología;Sillas;44.551;825.077;735.453
sandra-marina/palacios-ramirez;36;management;management;married;tertiary;tertiary;no;unknown;426;26/09/18;Regular;Hogares;Suplementos_Oficina;Papel;24.434;619.503;86.940
zulena-/giraldo-rodriguez;55;blue-collar;blue-collar;married;secondary;secondary;no;unknown;287;9/07/17;Regular;Hogares;Tecnología;Maquinas_Oficina;37.682;395.234;990.686
celmira-alexander/javier-gerenas;6;retired;retired;married;tertiary;tertiary;no;unknown;11;12/10/16;Regular;Startups;Tecnología;Telefonos_comunicaciones;43.688;424.876;349.344
luz-maria/melo-mahecha;39;technician;technician;married;secondary;secondary;no;unknown;23;22/12/18;Express_Aire;Startups;Muebles;Papel;4.550;350.941;111.061
diana-jesus/lopez-niño;46;management;management;married;tertiary;tertiary;no;unknown;197;9/03/18;Regular;Corporativo;Tecnología;Papel;11.417;657.224;530.654
martha-marcelas/cortes-guzman;44;blue-collar;blue-collar;married;secondary;secondary;no;unknown;257;18/03/18;Regular;Startups;Suplementos_Oficina;Papel;99.377;324.287;95.397
zulena-marlen/manosalva-carvajal;53;blue-collar;blue-collar;married;primary;primary;no;unknown;124;15/06/16;Regular;Startups;Suplementos_Oficina;Lapiceros_y_Marcadores;41.287;413.345;266.199
natalia-susana/arroyave-romero;52;blue-collar;blue-collar;married;primary;primary;no;unknown;229;12/07/16;Regular;Startups;Tecnología;Lapiceros_y_Marcadores;81.781;471.731;471.341
ruby-viviana/avila-giraldo;59;blue-collar;blue-collar;married;primary;primary;no;unknown;55;10/08/18;Express_Aire;Corporativo;Tecnología;Lapiceros_y_Marcadores;33.087;881.047;883.546
amelia-esmeralda/pulido-leon;27;technician;technician;single;tertiary;tertiary;no;unknown;4;9/09/16;Regular;Personas;Tecnología;Almacenaje_y_Organización;48.131;915.651;196.259
bertha-andrea/morales-ruiz;44;blue-collar;blue-collar;married;secondary;secondary;no;unknown;197;6/06/16;Regular;Personas;Suplementos_Oficina;Telefonos_comunicaciones;92.165;310.615;485.487
graciela-marina/ariza-perea;47;technician;technician;married;tertiary;tertiary;no;unknown;19;21/06/18;Regular;Personas;Suplementos_Oficina;Muebles_Oficina;27.752;402.643;897.708
maria-rosmira/espinosa-quiceno;34;admin.;admin.;married;secondary;secondary;no;unknown;21;19/06/18;Regular;Startups;Muebles;Telefonos_comunicaciones;43.795;210.240;441.378
martha-liliana/bautista-guarin;59;retired;retired;single;secondary;secondary;no;unknown;514;27/06/17;Regular;Hogares;Suplementos_Oficina;Maquinas_Oficina;32.216;658.853;294.362
johanna-/barrios-hernandez;45;management;management;married;tertiary;tertiary;no;unknown;849;6/06/17;Regular;Hogares;Muebles;Reglas_tijeras;34.589;664.140;329.896
maria-susana/hernandez-torres;29;services;services;divorced;secondary;secondary;no;unknown;194;28/10/16;Express_Tierra;Hogares;Suplementos_Oficina;Sillas;40.767;668.590;538.978
amelia-/castillo-sarmiento;46;technician;technician;divorced;secondary;secondary;no;unknown;144;29/04/17;Regular;Personas;Muebles;Accesorios;47.692;760.595;103.470
zulena-patricia/vanegas-torres;56;self-employed;self-employed;married;primary;primary;no;unknown;212;17/01/17;Regular;Hogares;Muebles;Bandas_Oficina;68.018;434.639;916.091
andrea-isabel/patiño-amaya;36;blue-collar;blue-collar;married;primary;primary;no;unknown;286;12/04/16;Regular;Corporativo;Muebles;Accesorios_Computadoras;38.978;881.375;126.779
gloria-alveiro/samper-tabares;59;retired;retired;divorced;primary;primary;no;unknown;17;2/09/18;Regular;Personas;Suplementos_Oficina;Muebles_Oficina;45.575;360.894;696.422
martha-/duarte-segura;44;blue-collar;blue-collar;married;secondary;secondary;no;unknown;247;9/11/16;Regular;Personas;Tecnología;Maquinas_Oficina;16.052;847.643;383.717
paola-eduardo/mendez-ortiz;41;admin.;admin.;married;secondary;secondary;no;unknown;518;18/07/16;Regular;Hogares;Muebles;Cuadernos;25.696;13.380;569.811
victoria-leonardo/martinez-solorza;33;management;management;single;tertiary;tertiary;no;unknown;364;20/08/18;Regular;Corporativo;Tecnología;Cuadernos;2.402;105.059;242.320
luz-angelina/sabogal-cordoba;59;management;management;divorced;tertiary;tertiary;no;unknown;178;15/06/18;Regular;Corporativo;Muebles;Telefonos_comunicaciones;20.347;900.400;360.618
luisa-gisela/palacios-vasquez;57;technician;technician;married;primary;primary;no;unknown;98;23/11/16;Regular;Hogares;Tecnología;Accesorios_Computadoras;53.719;46.939;601.918
france-isabel/dominguez-caicedo;56;technician;technician;divorced;No informa;No informa;no;unknown;439;5/12/17;Regular;Hogares;Suplementos_Oficina;Accesorios;30.352;346.231;509.087
andrea-ivan/barajas-martinez;51;blue-collar;blue-collar;married;secondary;secondary;no;unknown;79;5/11/17;Express_Aire;Personas;Tecnología;Sobres;2.225;301.118;669.951
rocio-/javier-calderon;34;admin.;admin.;married;No informa;No informa;no;unknown;12;14/09/18;Regular;Personas;Suplementos_Oficina;Encuadernadores_y_accesorios;70.213;438.666;101.275
paola-/barrios-gerenas;43;services;services;married;secondary;secondary;no;unknown;127;8/05/17;Regular;Hogares;Tecnología;Telefonos_comunicaciones;31.162;792.692;208.054
claudia-liliana/isaza-vega;52;technician;technician;married;tertiary;tertiary;no;unknown;175;21/04/17;Regular;Hogares;Suplementos_Oficina;Accesorios_Computadoras;83.135;204.947;107.423
luz-alveiro/garzon-carvajal;33;technician;technician;single;secondary;secondary;no;unknown;262;21/09/17;Express_Tierra;Startups;Tecnología;Maquinas_Oficina;7.263;277.731;332.403
martha-pilar/patiño-rueda;29;admin.;admin.;single;secondary;secondary;no;unknown;61;20/11/17;Regular;Personas;Muebles;Lapiceros_y_Marcadores;38.101;927.640;161.247
gloria-ximena/aguillon-corredor;34;services;services;married;secondary;secondary;no;unknown;78;4/10/18;Regular;Hogares;Suplementos_Oficina;Almacenaje_y_Organización;25.346;562.071;212.370
norma-elena/trujillo-tapia;31;blue-collar;blue-collar;married;secondary;secondary;no;unknown;143;18/08/18;Regular;Corporativo;Tecnología;Sillas;19.223;457.213;967.772
alcira-/forero-masmela;55;services;services;married;secondary;secondary;no;unknown;579;29/01/17;Regular;Personas;Muebles;Telefonos_comunicaciones;29.933;413.503;738.650
luis-paola/garzon-chaparro;55;management;management;married;No informa;No informa;no;unknown;677;30/12/17;Regular;Personas;Suplementos_Oficina;Accesorios_Computadoras;44.439;213.089;18.959
maria-paola/rojas-herrera;32;admin.;admin.;single;secondary;secondary;no;unknown;345;11/01/17;Regular;Personas;Tecnología;Muebles_Oficina;81.184;178.623;960.508
elizabeth-marcela/avila-zaque;38;technician;technician;single;secondary;secondary;no;unknown;185;27/03/17;Express_Tierra;Startups;Muebles;Maquinas_Oficina;89.917;830.232;28.708
martha-marcela/diaz-sastoque;55;admin.;admin.;single;secondary;secondary;no;unknown;1;8/12/18;Regular;Personas;Suplementos_Oficina;Papel;62.898;545.617;228.038
-/lozano-garcia;28;unemployed;unemployed;single;tertiary;tertiary;no;unknown;125;8/09/18;Regular;Personas;Tecnología;Cuadernos;81.843;109.168;288.636
tania-marina/morales-vargas;23;blue-collar;blue-collar;married;secondary;secondary;no;unknown;193;2/02/16;Express_Tierra;Personas;Suplementos_Oficina;Mesas;34.729;551.177;200.461
consuelo-/duarte-rojas;32;technician;technician;single;secondary;secondary;no;unknown;136;17/02/16;Express_Tierra;Hogares;Tecnología;Libreros;31.402;83.326;677.881
ligia-/rios-rojas;43;services;services;single;No informa;No informa;no;unknown;73;15/03/17;Regular;Personas;Muebles;Muebles_Oficina;60.607;339.898;538.124
ana-andrea/vargas-pinilla;32;blue-collar;blue-collar;married;secondary;secondary;no;unknown;528;26/07/16;Express_Aire;Corporativo;Suplementos_Oficina;Mesas;62.461;704.294;905.049
monica-/moreno-tellez;46;blue-collar;blue-collar;married;secondary;secondary;no;unknown;541;7/03/16;Regular;Startups;Suplementos_Oficina;Encuadernadores_y_accesorios;37.014;300.839;823.069
sandra-constanza/rios-tabima;53;housemaid;housemaid;divorced;primary;primary;no;unknown;163;19/09/17;Regular;Corporativo;Tecnología;Lapiceros_y_Marcadores;83.971;409.668;365.194
claudia-/cortina-vargas;34;self-employed;self-employed;single;secondary;secondary;no;unknown;31;11/04/17;Regular;Personas;Suplementos_Oficina;Papel;74.232;596.801;939.992
gilma-/moreno-murillo;57;unemployed;unemployed;married;tertiary;tertiary;no;unknown;46;26/10/16;Express_Aire;Personas;Tecnología;Lapiceros_y_Marcadores;76.025;348.582;666.680
ingrid-/barbosa-cortes;37;blue-collar;blue-collar;married;secondary;secondary;no;unknown;24;19/02/16;Regular;Corporativo;Suplementos_Oficina;Encuadernadores_y_accesorios;23.762;639.715;803.008
maria-/morales-carreño;59;blue-collar;blue-collar;married;secondary;secondary;no;unknown;98;26/02/18;Regular;Corporativo;Muebles;Telefonos_comunicaciones;92.071;873.098;257.177
alexander-alexander/lozano-corredor;33;services;services;married;secondary;secondary;no;unknown;71;2/10/17;Regular;Startups;Suplementos_Oficina;Encuadernadores_y_accesorios;38.905;220.514;226.294
yury-maritza/barajas-beleño;56;blue-collar;blue-collar;divorced;primary;primary;no;unknown;157;26/09/16;Regular;Personas;Muebles;Telefonos_comunicaciones;21.867;100.504;451.831
luis-tulia/aguillon-villamil;48;unemployed;unemployed;married;secondary;secondary;no;unknown;243;25/05/18;Regular;Startups;Muebles;Lapiceros_y_Marcadores;70.309;203.874;378.607
gloria-catalina/reyes-jimenez;43;services;services;married;primary;primary;no;unknown;186;14/03/17;Express_Aire;Hogares;Suplementos_Oficina;Papel;87.990;549.719;626.966
sandra-angelina/dominguez-vargas;54;blue-collar;blue-collar;married;primary;primary;no;unknown;579;30/01/18;Regular;Startups;Suplementos_Oficina;Lapiceros_y_Marcadores;20.453;76.691;932.216
gilma-carolina/vanegas-camacho;51;blue-collar;blue-collar;married;No informa;No informa;no;unknown;163;29/09/18;Regular;Startups;Suplementos_Oficina;Accesorios;77.766;507.693;162.645
leonardo-jhinet/camargo-ramirez;26;student;student;single;secondary;secondary;no;unknown;61;1/06/16;Express_Tierra;Corporativo;Tecnología;Sillas;20.861;662.197;935.570
isabel-patricia/rojas-peña;4;management;management;married;tertiary;tertiary;no;unknown;233;1/05/17;Regular;Corporativo;Suplementos_Oficina;Almacenaje_y_Organización;60.927;70.906;199.121
ana-marina/arenas-agudelo;39;management;management;married;secondary;secondary;no;unknown;85;28/06/17;Regular;Startups;Muebles;Encuadernadores_y_accesorios;45.815;866.833;345.458
sonia-paola/pulido-mendoza;5;technician;technician;married;primary;primary;no;unknown;114;18/08/17;Regular;Startups;Suplementos_Oficina;Lapiceros_y_Marcadores;13.862;719.923;687.900
maria-alejandro/pulido-pinilla;41;services;services;married;secondary;secondary;no;unknown;114;17/02/17;Express_Tierra;Startups;Muebles;Sillas;6.347;411.340;752.120
